Date, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258
1988-10-01,1.2747,1.2146,1.2578,1.2620,1.3379,1.2895,1.3678,1.3233,1.3618,1.8207,1.3417,1.3224,1.9081,1.7849,1.3334,1.7181,1.2530,1.2397,1.6977,1.5583,1.4355,1.6826,1.2018,1.1954,1.2329,1.3829,1.6168,1.2192,1.2422,1.5092,1.9403,1.1732,1.2184,1.3730,1.2792,1.3459,1.3488,1.3617,1.3768,1.3812,1.1937,1.2704,.4542,1.2692,1.2448,.2980,1.2099,1.4031,1.2321,1.3735,1.2796,1.2722,1.2731,.1810,1.3297,1.3241,1.3329,.1505,1.3380,1.3399,1.3622,1.2535,1.5377,1.4013,1.2390,1.3441,1.4077,1.9933,1.5224,1.7158,1.6108,1.6745,1.0823,1.0633,1.3089,1.0830,1.0331,1.0638,1.4913,1.1762,1.3174,1.0809,1.2582,1.2039,1.0836,1.1742,1.0487,1.0376,1.0013,1.0588,.9343,.9467,1.0586,1.0597,1.4223,1.0613,1.1969,1.0934,1.0979,1.0758,1.1531,1.1462,1.3369,1.0700,1.1198,.9852,1.1206,1.0668,1.1297,1.0566,.9747,1.0634,1.1479,.8843,.8633,1.1475,.9864,1.0478,.9856,.9870,1.0977,.9798,1.1778,.8721,1.0572,.8427,.8561,1.0163,.9882,.9867,.9011,.9337,1.0180,.8759,.8400,.8320,1.0003,.8780,.9016,.8602,.8812,.8628,1.0279,1.0107,1.0120,.8585,.8585,.9225,.8792,.9058,1.0177,1.0042,.8605,.8792,.8692,.8653,.8599,.9356,.8687,.8723,1.0480,1.0001,1.0453,.9092,1.0501,.9000,.9599,.9627,.8897,.9000,.8936,.9808,.8955,1.0570,.8534,.8609,.8901,1.0184,1.0273,.8635,.9477,.9454,.9000,.9873,.9944,1.0198,.8595,.8511,.9000,.8546,.8560,.8823,.8531,.8630,.8537,.8477,.8633,1.0042,.8576,.8772,1.0751,1.0543,.9184,.8677,.9147,.9325,1.0361,1.0258,1.0077,1.0185,1.0366,1.0420,1.0332,.9535,1.0285,1.0428,.9785,.9962,.9720,1.0390,1.0566,.9005,1.1679,.9021,1.0688,1.1116,1.0386,1.0635,1.0631,1.0197,1.0700,1.0515,1.0322,1.0421,1.0165,.9741,1.0102,1.0410,1.0316,1.0731,.9770,1.0891,1.1124,1.0780,1.0990,1.0909,1.0555,1.0436,.9135,.9205,1.0579,1.0137,.9000,.8812,.8934,.9056,1.0241,.8893
1988-10-02,1.7105,1.5711,1.6124,1.7119,1.6752,1.6434,1.6715,1.6290,1.7165,2.5967,1.6257,1.5876,2.7276,2.5064,1.5958,2.4547,1.4794,1.4444,2.3928,1.9848,1.7368,2.2675,1.3363,1.3355,1.3851,1.6283,1.9104,1.3488,1.3580,1.7436,2.4352,1.2986,1.3465,1.5715,1.4060,1.5482,1.5255,1.5495,1.5565,1.5456,1.2202,1.4544,.4424,1.3911,1.3293,.2980,1.2547,1.5959,1.2593,1.5331,1.4294,1.3538,1.3542,.1909,1.4210,1.4156,1.4249,.1117,1.4329,1.4268,1.4949,1.3016,1.9179,1.5567,1.2863,1.4075,1.7286,2.2129,1.9080,2.1712,2.0596,2.2134,1.3655,1.3813,1.8756,1.3025,1.2416,1.3290,2.0775,1.4588,1.8236,1.3462,1.4811,1.5949,1.3829,1.4251,1.1668,1.1649,1.2434,1.1089,.9261,.9671,1.2227,1.2160,1.7981,1.2673,1.3482,1.1665,1.1528,1.1427,1.2570,1.2409,1.5758,1.1119,1.1908,1.0654,1.1920,1.1244,1.2469,1.1858,1.1005,1.1247,1.4004,.9049,.8879,1.3194,1.0890,1.1004,1.0781,1.1074,1.2214,1.0512,1.3807,.9902,1.1386,.8187,1.0029,1.0458,.9987,1.0235,.8409,.9081,.9669,.9798,.8616,.7989,1.0339,1.1823,1.0081,1.1076,1.4118,.9545,1.2787,1.1854,1.2657,.9891,.9466,1.0325,.9697,.9748,1.2189,1.0240,.9526,.9620,1.1652,1.1492,.8859,1.0140,.9115,.8928,1.2526,1.3098,1.4510,1.3718,1.3728,.9119,.9881,1.0166,1.1690,.9316,.9818,1.0170,1.0047,1.2719,.9412,1.1512,1.3370,1.4003,1.4360,1.0818,1.3289,1.2927,.9398,1.2892,1.3100,1.2885,1.0774,.9634,1.0955,1.1169,1.0613,1.2159,1.2469,1.0615,.9114,1.0300,.9521,1.2477,1.1526,1.0270,1.2241,1.2438,1.0997,.9917,.9761,1.0261,1.2333,1.3918,1.2757,1.0634,1.2054,1.2425,.9869,1.1971,1.1117,1.1416,1.2344,1.2196,.9714,1.1468,.9897,1.0509,1.3399,1.0368,1.0403,1.2007,1.0650,1.0339,1.0426,1.0353,1.1198,1.1012,1.0541,1.0844,1.0221,.9716,1.0187,1.0857,1.0581,1.0199,1.0323,1.0545,1.1742,1.1629,1.1755,1.2440,1.1747,1.1120,1.0821,1.1027,1.2686,1.2510,1.0765,1.0569,1.0698,1.0025,1.1644,1.0682
1988-10-03,1.9465,1.7027,1.7786,1.9676,1.9109,1.8334,1.9195,1.8500,1.9417,3.2027,1.8476,1.7295,3.2369,2.9279,1.7181,2.7509,1.5278,1.5504,2.7379,2.3133,1.9712,2.9973,1.5027,1.5741,1.5597,2.1084,2.3890,1.6916,1.6601,1.7536,2.7124,1.5714,1.7927,1.9369,1.5039,2.1142,1.9793,2.0318,1.9348,1.7932,1.3275,1.4577,.4641,1.3871,1.3917,.3179,1.3803,1.7775,1.1942,1.7802,1.4054,1.3515,1.3509,.2008,1.4726,1.4702,1.4770,.0570,1.4907,1.4426,1.5432,1.2734,1.9144,1.5408,1.1933,1.3186,1.8652,2.1738,1.9532,2.1910,2.0795,2.4017,1.5341,1.5905,1.9292,1.5063,1.5712,1.4887,2.2692,1.5833,2.4351,1.5131,1.6502,1.8301,1.5872,1.5244,1.1725,1.2131,1.6279,1.0506,.9831,1.0269,1.3643,1.3813,1.8234,1.4220,1.3508,1.1651,1.1429,1.0921,1.2504,1.2349,1.5999,1.1007,1.1824,1.2188,1.1836,1.1133,1.2515,1.2146,1.4634,1.1185,1.3961,.9677,.9434,1.3194,1.2360,1.0919,1.2027,1.2284,1.2189,1.1950,1.3929,1.2840,1.1771,.8836,1.2488,1.0659,1.0328,1.1253,.7794,.8617,.9893,1.4159,.8336,.8479,1.1064,1.6448,1.3615,1.4497,1.9422,1.4169,1.5927,1.2621,1.4386,1.3613,1.3299,1.3502,1.3378,1.2171,1.3785,1.0546,1.0782,1.0725,1.6084,1.6297,1.1971,1.2116,1.2456,1.0868,1.3933,1.4438,1.6977,1.7299,1.5696,1.1201,.9562,1.0306,1.3798,1.0422,1.0361,1.0011,1.0824,1.3039,1.0693,1.4072,1.6191,1.6518,1.7270,1.2552,1.5190,1.4759,1.0373,1.5569,1.6018,1.4298,1.2523,1.1238,1.2964,1.3463,1.2300,1.4089,1.5581,1.2866,.9398,1.2291,1.1152,1.3512,1.4015,1.3241,1.4355,1.4757,1.4724,1.1323,1.2574,1.3618,1.5015,1.6024,1.5089,1.2333,1.4444,1.6153,1.1693,1.5827,1.2870,1.3775,1.6040,1.6026,1.4177,1.3427,1.1779,1.1742,1.5214,1.0632,1.2436,1.3957,1.2446,1.2364,1.1788,1.2141,1.3506,1.2916,1.2438,1.2582,1.2007,1.0529,1.2067,1.2399,1.2479,1.4428,1.0433,1.1308,1.2160,1.2083,1.2159,1.4054,1.2219,1.2229,1.1516,1.1757,1.4328,1.4094,1.1563,1.1272,1.1596,1.2059,1.4029,1.1527
1988-10-04,1.9749,1.7423,1.8435,2.0262,1.9573,1.8700,1.9609,1.8760,1.9422,3.3322,1.8720,1.7219,3.3174,3.0131,1.7039,2.7657,1.4893,1.5360,2.7666,2.3580,1.9976,3.2035,1.5137,1.6043,1.5782,2.2537,2.4926,1.7619,1.7175,1.7736,2.7287,1.6297,1.9064,2.0113,1.4660,2.2820,2.1010,2.1857,2.0537,1.8596,1.3062,1.3855,.4535,1.3182,1.3508,.3175,1.3678,1.8182,1.1015,1.8473,1.3299,1.3262,1.3248,.1814,1.4771,1.4750,1.4815,.0520,1.4979,1.4319,1.5446,1.2461,1.8871,1.5158,1.1270,1.2326,1.8870,2.1431,1.9376,2.2089,2.0974,2.3988,1.5524,1.6275,1.9981,1.5602,1.6392,1.5040,2.2463,1.6077,2.6217,1.5322,1.6874,1.8761,1.6243,1.5343,1.1525,1.2017,1.7562,1.0332,.9499,.9903,1.4050,1.4125,1.8149,1.4345,1.3425,1.1562,1.1351,1.0876,1.2437,1.2287,1.5909,1.0930,1.1722,1.2136,1.1729,1.1035,1.2429,1.2045,1.4974,1.1096,1.3843,.9142,.9135,1.3075,1.2374,1.0854,1.2209,1.2339,1.2064,1.2166,1.3766,1.3084,1.1668,.8375,1.2620,1.0528,1.0204,1.1288,.7546,.7770,.9797,1.4605,.8292,.7724,1.1011,1.6909,1.3557,1.4577,2.0298,1.5246,1.5422,1.2699,1.3749,1.4290,1.4034,1.3312,1.3657,1.1686,1.3714,1.0128,1.0078,1.0045,1.6769,1.7462,1.2221,1.2116,1.2764,1.0553,1.3049,1.3803,1.6379,1.7627,1.5307,1.1092,.9243,1.0040,1.3323,1.0422,.9620,.9675,1.0137,1.2185,1.0150,1.3714,1.5828,1.6148,1.6978,1.2047,1.5047,1.4650,1.0373,1.5995,1.6585,1.3821,1.1982,1.0828,1.2728,1.2982,1.1815,1.3414,1.5464,1.2545,.8472,1.1852,1.0767,1.2827,1.3582,1.3222,1.3930,1.4451,1.4842,1.0812,1.2573,1.3589,1.4956,1.5427,1.4766,1.2203,1.4199,1.6125,1.1329,1.5948,1.2598,1.3423,1.6221,1.6181,1.4498,1.2938,1.1539,1.0929,1.4661,.9557,1.2214,1.3884,1.2544,1.2167,1.1318,1.2428,1.3861,1.2929,1.2701,1.2626,1.2423,.9681,1.2481,1.2248,1.2684,1.5175,.9256,1.0604,1.0906,1.0864,1.1030,1.3912,1.0998,1.1051,1.0368,1.0706,1.4051,1.3854,1.1567,1.0123,1.0559,1.0894,1.3692,1.0478
1988-10-05,1.9694,1.7397,1.8417,2.0188,1.9517,1.8613,1.9516,1.8518,1.9264,3.2997,1.8547,1.6852,3.2907,2.9805,1.6852,2.7185,1.4664,1.5127,2.7220,2.3007,1.9407,3.1478,1.4564,1.5495,1.5195,2.2192,2.4196,1.6913,1.6550,1.6950,2.6620,1.5838,1.8431,1.9340,1.3943,2.2094,2.0447,2.1526,2.0284,1.8342,1.2367,1.3396,.3825,1.2721,1.2959,.2436,1.3120,1.7942,1.0395,1.8236,1.2865,1.3060,1.3031,.1152,1.4597,1.4628,1.4633,.0411,1.4826,1.4162,1.5280,1.2240,1.8678,1.4958,1.0671,1.1898,1.8718,2.1162,1.9262,2.1884,2.0740,2.3661,1.5178,1.5870,1.9838,1.5466,1.6224,1.4681,2.2289,1.6021,2.6062,1.5046,1.6724,1.8590,1.6201,1.5295,1.1399,1.1891,1.7430,1.0281,.9353,.9586,1.3895,1.4044,1.8005,1.4263,1.3299,1.1479,1.1244,1.0780,1.2325,1.2178,1.5787,1.0830,1.1580,1.2029,1.1588,1.0934,1.2293,1.1975,1.4796,1.0962,1.3679,.8947,.8898,1.2896,1.2284,1.0726,1.2114,1.2218,1.1906,1.2074,1.3566,1.2487,1.1539,.7842,1.2044,1.0377,1.0083,1.1208,.7285,.7186,.9705,1.3943,.8194,.7066,1.0946,1.6391,1.2853,1.4066,1.9766,1.4669,1.4828,1.2624,1.2958,1.3543,1.3316,1.2713,1.2950,1.0874,1.3578,.9904,.9456,.9444,1.6243,1.6783,1.1440,1.2083,1.2031,.9793,1.2972,1.3171,1.5844,1.7000,1.4625,1.1064,.9054,.9811,1.2583,1.0390,.9275,.9559,.9653,1.2128,.9278,1.2844,1.5059,1.5511,1.6286,1.1176,1.4400,1.4044,1.0341,1.5950,1.6535,1.3133,1.1158,1.0759,1.2695,1.2035,1.1241,1.2797,1.4509,1.1730,.7806,1.0862,1.0680,1.2739,1.2886,1.2471,1.3333,1.3896,1.4233,1.0203,1.1828,1.2915,1.4366,1.4626,1.4060,1.1325,1.3304,1.5449,1.0484,1.5117,1.1717,1.2867,1.5579,1.5596,1.3735,1.2395,1.0837,1.0248,1.4027,.8915,1.1603,1.3189,1.1861,1.1612,1.0596,1.1870,1.3322,1.2177,1.2073,1.1924,1.1785,.8970,1.1980,1.1640,1.2184,1.4698,.8573,1.0528,1.0846,1.0247,1.0969,1.3744,1.0934,1.0440,.9739,1.0020,1.3850,1.3670,1.1480,.9455,1.0490,1.0171,1.3526,.9969
1988-10-06,1.9574,1.7259,1.8400,2.0085,1.9435,1.8394,1.9236,1.8219,1.9122,3.2598,1.8249,1.6608,3.2609,2.9505,1.6659,2.6687,1.4433,1.4918,2.6620,2.2513,1.8917,3.0884,1.4067,1.5271,1.4799,2.1868,2.3602,1.6320,1.6056,1.6252,2.6131,1.5442,1.7938,1.8661,1.3448,2.1504,1.9957,2.1253,2.0075,1.8118,1.1874,1.3198,.3232,1.2424,1.2760,.1840,1.2723,1.7801,.9998,1.8054,1.2568,1.2928,1.2898,.0967,1.4463,1.4496,1.4499,.0336,1.4717,1.4033,1.5135,1.2118,1.8488,1.4819,1.0173,1.1501,1.8530,2.0942,1.9068,2.1587,2.0441,2.3167,1.4681,1.5374,1.9563,1.5194,1.5933,1.4185,2.2055,1.5918,2.5785,1.4650,1.6448,1.8400,1.6121,1.5202,1.1157,1.1645,1.7177,1.0186,.9184,.9395,1.3626,1.3908,1.7863,1.4180,1.3206,1.1370,1.1138,1.0638,1.2215,1.2070,1.5666,1.0732,1.1470,1.1918,1.1477,1.0835,1.2213,1.1897,1.4640,1.0897,1.3582,.8739,.8663,1.2809,1.2172,1.0663,1.2004,1.2084,1.1828,1.1964,1.3468,1.1898,1.1463,.7770,1.1447,1.0272,1.0023,1.1140,.7109,.6596,.9634,1.3354,.8119,.6991,1.0887,1.5701,1.2265,1.3380,1.9086,1.4084,1.4144,1.2546,1.2878,1.2761,1.2632,1.2124,1.2266,1.0186,1.3408,.9672,.8776,.8872,1.5563,1.6002,1.0753,1.2055,1.1359,.9725,1.2877,1.3089,1.5149,1.6314,1.4025,1.1035,.8848,.9517,1.2492,1.0364,.8781,.9399,.9069,1.2051,.8512,1.2060,1.4280,1.4764,1.5526,1.0393,1.3616,1.3261,1.0315,1.5907,1.6487,1.2243,1.0369,1.0714,1.2665,1.1160,1.0549,1.2004,1.3723,1.1698,.7015,1.0862,1.0606,1.2631,1.1993,1.1604,1.3252,1.3813,1.3482,.9405,1.1071,1.2137,1.3612,1.3735,1.3178,1.0444,1.3195,1.4680,1.0387,1.4230,1.0827,1.2185,1.4791,1.4813,1.2859,1.1710,1.0044,.9460,1.3338,.8124,1.0824,1.2403,1.1077,1.0828,1.0500,1.1081,1.2569,1.1378,1.1290,1.1124,1.1679,.8176,1.1092,1.0744,1.1285,1.3898,.7780,1.0442,1.0796,.9451,1.0874,1.3481,1.0851,1.0323,.8841,.9946,1.3607,1.3428,1.1382,.8556,1.0404,1.0047,1.3243,.9170
1988-10-07,1.9430,1.6961,1.8275,1.9987,1.9236,1.8096,1.8937,1.8020,1.9027,3.2300,1.8051,1.6465,3.2410,2.9305,1.6564,2.6488,1.4343,1.4795,2.6320,2.2118,1.8524,3.0587,1.3769,1.5139,1.4601,2.1640,2.3008,1.5827,1.5661,1.5754,2.5641,1.5244,1.7544,1.8078,1.2952,2.1011,1.9564,2.1029,1.9911,1.7897,1.1382,1.2703,.2639,1.2027,1.2462,.1631,1.2326,1.7625,.9600,1.7876,1.2172,1.2798,1.2735,.0843,1.4331,1.4365,1.4366,.0286,1.4636,1.3906,1.5020,1.1998,1.8376,1.4709,.9774,1.1105,1.8381,2.0768,1.8954,2.1289,2.0143,2.3019,1.4383,1.5076,1.9268,1.4897,1.5642,1.3788,2.1871,1.5796,2.5490,1.4452,1.6153,1.8213,1.6027,1.5089,1.1012,1.1351,1.6979,1.0058,.9062,.9258,1.3481,1.3765,1.7722,1.4098,1.3113,1.1289,1.1060,1.0500,1.2133,1.1990,1.5547,1.0660,1.1388,1.1829,1.1395,1.0762,1.2134,1.1820,1.4516,1.0789,1.3487,.8621,.8515,1.2693,1.2084,1.0559,1.1917,1.1953,1.1701,1.1877,1.3340,1.1505,1.1387,.7699,1.0949,1.0148,.9945,1.1073,.6946,.6529,.9563,1.2962,.8044,.6908,1.0828,1.5010,1.1774,1.2694,1.8406,1.4059,1.3362,1.2470,1.2787,1.2077,1.1949,1.1732,1.1778,1.0140,1.3240,.9414,.8428,.8299,1.4884,1.5318,1.0732,1.2031,1.1289,.9674,1.2796,1.3008,1.4454,1.5628,1.3525,1.1010,.8620,.9241,1.2413,1.0340,.8286,.9206,.8485,1.1975,.8435,1.1373,1.3598,1.4110,1.4861,.9707,1.2930,1.2577,1.0291,1.5871,1.6445,1.2155,.9580,1.0682,1.2634,1.0286,.9857,1.1210,1.2936,1.1669,.6921,1.0862,1.0553,1.2537,1.1100,1.1522,1.3195,1.3742,1.2826,.8607,1.0408,1.1455,1.3531,1.2843,1.2296,1.0358,1.3099,1.4008,1.0302,1.3442,1.0738,1.1503,1.4102,1.4127,1.2080,1.1024,.9968,.8672,1.3269,.7333,1.0746,1.2325,1.0980,1.0750,1.0416,1.0994,1.2483,1.1286,1.1201,1.1028,1.1585,.7381,1.0998,1.0651,1.1186,1.3098,.7729,1.0357,1.0738,.8655,1.0781,1.3227,1.0769,1.0220,.8774,.9863,1.3343,1.3168,1.1274,.8479,1.0319,.9950,1.2999,.8781
1988-10-08,1.9334,1.6762,1.8075,1.9889,1.9037,1.7898,1.8738,1.7821,1.8934,3.2101,1.7853,1.6370,3.2211,2.9105,1.6470,2.6289,1.4253,1.4713,2.6020,2.1821,1.8328,3.0290,1.3471,1.5052,1.4403,2.1506,2.2711,1.5530,1.5464,1.5355,2.5348,1.5046,1.7347,1.7787,1.2654,2.0716,1.9368,2.0896,1.9829,1.7752,1.1086,1.2505,.2507,1.1829,1.2263,.1520,1.2128,1.7521,.9301,1.7770,1.1974,1.2702,1.2639,.0762,1.4253,1.4287,1.4288,.0255,1.4582,1.3831,1.4935,1.1909,1.8265,1.4627,.9626,1.0906,1.8271,2.0639,1.8840,2.0991,1.9844,2.2922,1.4184,1.4877,1.9071,1.4699,1.5448,1.3491,2.1734,1.5690,2.5293,1.4254,1.5957,1.8103,1.5965,1.4978,1.0906,1.1093,1.6781,.9977,.8983,.9126,1.3385,1.3670,1.8151,1.4044,1.3137,1.1210,1.1011,1.0552,1.2159,1.2046,1.6121,1.0603,1.1503,1.1763,1.1483,1.0717,1.2417,1.1830,1.4424,1.0821,1.3447,.8506,.8409,1.2706,1.2018,1.0529,1.1853,1.1875,1.1626,1.1834,1.3245,1.1210,1.1313,.7664,1.0651,1.0087,.9888,1.1044,.6871,.6497,.9534,1.2471,.8012,.6878,1.0803,1.4319,1.1381,1.2302,1.7824,1.4037,1.2678,1.2416,1.2731,1.1588,1.1460,1.1438,1.1289,1.0102,1.3123,.9241,.8231,.8119,1.4301,1.4732,1.0715,1.2010,1.1236,.9646,1.2715,1.2940,1.3758,1.5039,1.3125,1.0988,.8436,.9018,1.2346,1.0323,.7792,.9058,.7998,1.1911,.8370,1.0785,1.3013,1.4041,1.4291,.9120,1.2342,1.1990,1.0272,1.5839,1.6409,1.2079,.8988,1.0659,1.2612,.9605,.9264,1.0516,1.2248,1.1643,.6843,1.0862,1.0520,1.2455,1.0405,1.1460,1.3161,1.3695,1.2357,.8008,.9935,1.0969,1.3473,1.2761,1.2207,1.0283,1.3027,1.3528,1.0240,1.2851,1.0673,1.1113,1.3610,1.3637,1.1496,1.0967,.9915,.8593,1.3235,.7247,1.0702,1.2281,1.0921,1.0706,1.0354,1.0940,1.2430,1.1229,1.1147,1.0969,1.1516,.7326,1.0929,1.0582,1.1112,1.2598,.7685,1.0294,1.0684,.8604,1.0709,1.3035,1.0705,1.0141,.8727,.9809,1.3165,1.2991,1.1199,.8418,1.0264,.9891,1.2852,.8546
1988-10-09,1.9240,1.6563,1.7875,1.9791,1.8838,1.7700,1.8539,1.7622,1.8841,3.1901,1.7654,1.6277,3.2012,2.8905,1.6377,2.6089,1.4163,1.4632,2.5721,2.1525,1.8034,2.9993,1.3172,1.4921,1.4106,2.1328,2.2315,1.5135,1.5168,1.4857,2.5054,1.4848,1.7051,1.7596,1.2356,2.0323,1.9073,2.0721,1.9708,1.7574,1.0891,1.2307,.2340,1.1630,1.2064,.1382,1.1929,1.7418,.9160,1.7630,1.1776,1.2607,1.2544,.0689,1.4149,1.4211,1.4184,.0226,1.4529,1.3756,1.4851,1.1822,1.8155,1.4546,.9484,1.0761,1.8161,2.0511,1.8765,2.0693,1.9645,2.2824,1.3986,1.4679,1.8874,1.4502,1.5254,1.3292,2.1598,1.5592,2.5097,1.4056,1.5760,1.7993,1.5903,1.4905,1.0779,1.1011,1.6583,.9888,.8905,.9040,1.3291,1.3575,1.8296,1.3989,1.3110,1.1132,1.0948,1.0570,1.2142,1.2062,1.6292,1.0547,1.1512,1.1698,1.1493,1.0660,1.2498,1.1819,1.4333,1.0822,1.3380,.8395,.8306,1.2658,1.1953,1.0479,1.1788,1.1799,1.1552,1.1790,1.3151,1.0933,1.1264,.7630,1.0370,1.0028,.9850,1.1016,.6799,.6466,.9504,1.2488,.7980,.6849,1.0778,1.4050,1.1016,1.2022,1.7550,1.4288,1.2668,1.2399,1.2740,1.1785,1.1535,1.1170,1.1153,1.0142,1.3080,.9154,.8142,.8012,1.4031,1.4690,1.1095,1.2068,1.1313,.9814,1.2708,1.2989,1.3550,1.4830,1.3194,1.1199,.8362,.8937,1.2312,1.0372,.7614,.8959,.7760,1.1891,.8430,1.0669,1.2794,1.3996,1.3911,.8994,1.2048,1.1599,1.0322,1.5855,1.6403,1.2025,.8794,1.0668,1.2604,.9262,.9092,1.0286,1.1953,1.1625,.6825,1.0862,1.0495,1.2415,1.0040,1.1409,1.3137,1.3678,1.1982,.7763,.9461,1.0483,1.3416,1.2894,1.2158,1.0210,1.2957,1.3048,1.0168,1.2260,1.0597,1.1099,1.3118,1.3148,1.0815,1.0971,.9851,.8597,1.3225,.7252,1.0683,1.2226,1.0862,1.0662,1.0293,1.0887,1.2377,1.1173,1.1092,1.0922,1.1459,.7283,1.0860,1.0525,1.1052,1.2198,.7654,1.0242,1.0629,.8556,1.0658,1.2901,1.0660,1.0086,.8700,.9782,1.3040,1.2892,1.1157,.8388,1.0237,.9832,1.2736,.8436
1988-10-10,1.9099,1.6265,1.7676,1.9695,1.8639,1.7501,1.8241,1.7423,1.8703,3.1603,1.7456,1.6137,3.1713,2.8705,1.6284,2.5890,1.4074,1.4511,2.5421,2.1228,1.7887,2.9597,1.2775,1.4749,1.3710,2.1107,2.1820,1.4642,1.4872,1.4258,2.4565,1.4551,1.6755,1.7359,1.1861,1.9830,1.8779,2.0547,1.9588,1.7362,1.0651,1.2010,.2145,1.1333,1.1765,.1225,1.1632,1.7282,.8932,1.7457,1.1381,1.2451,1.2388,.0579,1.4022,1.4084,1.4030,.0185,1.4424,1.3609,1.4712,1.1678,1.7937,1.4386,.9254,1.0528,1.7980,2.0257,1.8578,2.0396,1.9346,2.2582,1.3489,1.4182,1.8678,1.4304,1.5060,1.2796,2.1374,1.5473,2.4900,1.3660,1.5564,1.7775,1.5810,1.4796,1.0721,1.0951,1.6385,.9841,.8791,.8914,1.3196,1.3482,1.8234,1.3908,1.3057,1.0977,1.0836,1.0528,1.2080,1.2003,1.6200,1.0429,1.1442,1.1589,1.1419,1.0578,1.2459,1.1787,1.4151,1.0793,1.3311,.8216,.8139,1.2618,1.1822,1.0460,1.1660,1.1672,1.1478,1.1662,1.3058,1.0360,1.1191,.7552,.9831,.9969,.9793,1.0950,.6730,.6435,.9444,1.2472,.7906,.6772,1.0728,1.3610,1.0992,1.1462,1.7082,1.4389,1.2714,1.2366,1.2757,1.1614,1.1326,1.1141,1.0680,1.0167,1.2991,.9069,.7911,.7847,1.3663,1.4452,1.0808,1.2118,1.1037,.9516,1.2729,1.2988,1.3166,1.4526,1.3215,1.1247,.8291,.8777,1.2263,1.0406,.7336,.8874,.7409,1.1860,.8425,1.0154,1.2340,1.3928,1.3341,.8496,1.1493,1.1012,1.0329,1.5839,1.6369,1.1950,.8759,1.0648,1.2582,.8605,.8606,.9626,1.1363,1.1600,.6765,1.0862,1.0465,1.2353,.9378,1.1338,1.3113,1.3650,1.1441,.7222,.8917,.9923,1.3366,1.2972,1.2100,1.0128,1.2896,1.2518,1.0106,1.1608,1.0512,1.1062,1.2565,1.2591,1.0167,1.0955,.9811,.8594,1.3251,.7202,1.0663,1.2217,1.0816,1.0638,1.0251,1.0845,1.2335,1.1154,1.1049,1.0875,1.1403,.7226,1.0804,1.0457,1.0992,1.1698,.7610,1.0170,1.0548,.8495,1.0588,1.2717,1.0588,1.0009,.8654,.9736,1.2868,1.2746,1.1093,.8343,1.0192,.9763,1.2565,.8258
