Date, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258
1988-10-31,58.9357,47.0227,53.8245,60.3967,55.5071,52.8385,54.9239,49.9391,58.0010,97.7280,53.7372,49.7310,97.9333,90.0119,50.3175,79.4652,42.5549,44.2606,77.4605,63.2155,55.2579,90.1788,37.1508,44.3178,37.8972,64.5241,63.2839,43.1733,41.7699,41.4188,72.4582,40.3416,46.3267,53.3028,34.7534,58.3710,56.1978,62.9076,60.7374,53.8948,32.4051,36.4191,6.7768,34.5361,34.1961,4.2797,35.0775,54.3481,28.6242,54.5817,35.0731,39.0897,38.8072,2.4343,44.9549,45.0307,44.9981,1.3657,46.4339,43.7164,46.9728,36.6965,55.6893,45.8805,29.2271,32.7685,55.7105,64.1097,57.3543,62.0617,58.8280,70.8911,38.8935,40.8242,55.7415,40.6112,42.4822,37.2634,68.9514,47.7335,73.8012,39.2624,46.5420,55.5300,48.3044,46.7563,33.1970,33.7958,46.1336,30.5481,26.5554,26.5336,38.9682,39.6957,57.4082,42.2317,40.9485,36.1431,35.3277,32.5578,38.8934,38.5428,53.2829,34.3246,36.5917,35.0163,36.6517,34.4656,39.5586,36.6092,40.8198,34.8204,44.4512,24.4825,23.9764,43.0856,35.7629,33.7887,36.1285,37.1469,39.2606,35.8110,42.5085,31.0857,37.1941,23.6582,26.3316,30.7240,30.5933,34.4541,20.8814,21.0406,30.5026,38.7269,25.2099,21.8558,33.8101,34.2879,34.4578,29.6459,43.5709,43.0979,40.0832,38.6159,39.8226,30.4728,30.3557,34.3444,33.0572,30.8266,39.4112,27.2259,23.6534,24.0783,33.4719,35.1362,33.4141,36.5108,34.1657,29.6021,39.0304,39.9674,41.8453,35.7816,41.3056,33.6830,24.5997,26.0598,36.4162,31.6093,24.1084,25.7211,24.5876,36.4195,25.6178,29.2894,32.2067,42.5419,41.7664,27.3449,33.3480,33.7333,31.5757,47.6682,49.2883,37.0977,27.7237,32.5769,38.2716,27.7980,27.2021,29.6764,31.5274,35.7638,21.5297,33.8717,32.1503,37.8770,29.4696,33.9900,40.3306,41.4126,32.3066,22.8870,28.5634,30.1024,40.6100,40.3602,38.0735,30.7454,38.7776,33.8425,30.6087,32.7573,32.0805,34.5708,34.1513,34.0601,29.0686,34.2275,30.1996,26.9870,41.1022,22.9178,32.9668,37.7310,32.7658,32.7782,31.0731,32.7220,37.4268,34.0730,33.3807,32.9927,33.9579,22.9417,32.3851,31.5582,33.0913,35.0423,23.7936,30.4870,31.7826,26.9466,31.8803,36.0502,31.8445,30.0624,26.7628,29.4948,36.7017,36.2692,32.6857,25.6658,30.5376,29.1222,35.4231,23.5767
1988-11-30,61.1818,45.9400,64.1542,66.3715,57.1490,53.6823,54.7854,45.8153,59.2775,107.2762,53.2458,49.5076,114.7499,98.5718,50.7648,93.3024,39.5089,41.1646,89.0019,61.7264,53.7261,97.4413,29.3291,40.2982,30.5560,66.1765,59.3683,36.0000,35.4710,39.2828,70.5762,34.8112,39.9092,50.8770,28.7031,55.9427,56.8333,67.2826,68.8498,62.1838,27.0823,33.8904,4.1178,31.5561,30.2830,2.9864,31.7184,65.7027,26.7064,64.7527,33.1333,44.3746,43.5805,3.0100,57.8443,58.1002,57.7053,2.0012,61.9090,56.0458,60.9256,41.8866,67.2903,58.6248,27.7606,31.5278,65.3395,73.0998,68.8471,61.1743,56.9056,78.4567,35.1049,37.0584,52.8314,36.3420,36.9046,33.9297,78.7781,55.3832,79.4691,36.5514,47.9911,67.0610,58.8419,55.9992,34.4741,34.0908,40.7850,33.6127,28.3363,27.4205,38.2527,40.0870,62.2353,52.0809,52.4716,49.4072,48.6258,34.9199,53.6651,52.2326,68.0931,49.1419,47.9524,44.3531,48.6511,49.1403,53.3347,46.3809,45.1959,50.2796,60.8521,25.3479,24.5151,60.6439,45.4537,49.9559,50.0868,54.3321,59.3457,51.3356,65.1960,29.1492,62.2839,25.3181,24.4761,42.9764,44.0529,38.9997,24.1918,22.4362,44.1414,37.5178,27.7010,23.2393,41.4930,25.5022,32.2297,24.9325,36.2128,42.6455,38.6528,41.8926,40.7313,26.3080,26.1420,32.1941,30.7928,28.0615,52.9854,29.6832,24.1475,24.7011,26.0201,25.0768,32.1444,35.7736,32.8842,28.0959,39.0232,41.3115,42.9140,26.4676,41.1060,32.2350,27.2214,27.2423,31.5082,30.2945,23.4245,26.7326,23.2467,37.7774,24.2723,23.5853,24.7872,39.6967,36.3401,24.4378,26.5938,30.2507,29.8020,50.5321,53.0476,36.8693,24.6315,30.9323,36.6091,24.0748,22.7424,26.8121,26.5254,34.0023,19.4180,33.2368,30.3564,36.3526,27.3645,30.4983,39.5555,41.4147,28.1370,21.6731,25.5066,27.3166,39.7591,39.2511,37.5387,30.9115,37.4714,33.4901,31.3523,29.8197,32.1785,34.3789,31.3678,32.8281,29.0761,33.1360,30.0702,25.6565,41.0793,21.0043,31.7531,38.5326,31.7857,32.8681,32.0448,32.2154,37.9213,33.7697,32.5488,31.6744,33.1049,20.8504,31.0302,29.9744,31.6595,33.6103,22.2646,31.8643,28.6242,25.3253,34.0838,36.1839,29.9178,30.0457,27.7113,31.8056,40.0744,39.9955,35.4505,24.9486,32.9260,28.8342,36.7505,24.4098
1988-12-31,62.0626,45.6245,76.4284,71.4964,58.6869,54.0549,53.9574,45.9119,59.8620,103.1234,53.0202,48.6602,114.6046,96.6396,50.9735,94.1716,38.1828,38.7980,90.0240,53.6350,52.5224,91.1620,24.5057,37.4364,28.0747,63.9721,48.4698,31.3732,33.2133,29.8763,61.7373,32.8787,37.0019,47.8667,24.9753,53.8226,55.4664,66.6799,68.9761,62.4802,23.6818,31.3501,2.5105,30.3035,28.7082,2.1352,29.5439,66.4345,25.5931,65.6031,31.4720,45.3704,44.8906,2.3300,62.7660,63.8062,62.2366,1.9714,67.4760,61.5229,65.6095,44.1211,72.0747,63.5619,27.3306,30.9301,67.7705,75.9527,74.1100,56.5129,52.9883,79.3672,34.2456,36.8777,52.2455,31.5535,26.4406,32.9146,78.5722,52.4768,79.1787,36.5166,49.4510,67.4606,69.9530,55.3541,31.6973,32.7452,35.2978,29.2760,27.1093,27.3255,39.6830,41.9463,63.1505,63.2572,51.8171,47.8144,45.8929,33.9197,53.1186,51.4756,71.0431,48.6092,47.5670,48.5550,48.6250,49.8903,57.8269,55.2567,44.7341,56.6570,62.7588,25.5543,23.8490,65.2589,50.8772,57.6434,57.4087,58.1966,67.9513,57.3926,79.3242,29.0815,81.3570,24.8481,22.7609,52.2041,53.7607,39.7328,25.6163,22.4362,42.9717,39.1385,27.6411,22.8441,41.3169,25.3718,33.3384,24.1306,32.7484,43.8502,39.5425,41.9111,40.8030,27.2813,27.0347,33.6544,32.0557,28.7467,53.1883,27.7101,22.9391,24.0673,25.6332,26.2678,33.2378,37.7995,34.3078,29.2896,39.6314,39.8883,40.8910,27.3953,40.2651,33.0349,25.1886,24.5248,31.3761,31.0073,22.8934,25.5779,22.5151,38.2261,25.0104,25.2628,26.7259,41.9408,39.0851,26.2756,27.5754,31.3296,30.3041,57.0192,60.9543,38.6346,26.6675,32.1828,38.1946,25.8953,24.9198,28.2817,29.5852,35.9672,19.8926,35.4656,31.8385,38.8642,27.9607,29.9636,42.1825,42.8215,28.9195,22.6355,28.1964,28.8453,41.9818,40.1910,38.1389,34.2760,39.6977,35.4340,34.4837,34.3059,34.7749,34.6314,34.9991,35.1686,33.9087,34.5711,32.1394,26.7325,42.4651,22.2249,34.7625,40.7550,34.2596,34.6185,33.5665,36.7239,41.1005,36.2239,35.9177,34.2161,36.8457,22.8610,35.0615,33.5042,34.6057,37.4447,23.8632,34.5099,29.5029,27.1137,35.8563,40.5888,31.0080,31.9169,29.9448,33.6550,43.8156,43.5406,38.4654,26.6316,35.9108,32.1231,41.2005,25.4038
1989-01-31,91.6864,70.7413,115.3984,109.1017,92.3996,80.9122,82.3408,75.4107,83.1199,107.4330,82.6533,74.2466,119.0881,99.4611,80.8868,97.3214,60.4009,64.8251,95.1794,82.4385,72.9212,99.6594,35.1190,54.9967,38.6321,76.2705,70.1283,41.1487,43.2779,48.7942,82.9605,48.2381,47.3568,57.9145,28.3541,64.9600,70.6976,77.6010,81.4725,70.8014,26.5328,42.5065,5.4854,41.1254,38.4817,5.5203,36.7406,78.0221,34.3087,74.3085,42.7392,52.1715,51.8582,4.8436,72.7416,74.6652,71.6812,3.8488,82.9038,71.5285,77.9932,50.6103,78.2017,72.7395,33.0179,39.5485,74.8293,87.3201,79.6130,62.7741,59.1035,89.5603,37.2761,40.0811,56.7305,32.5958,26.0481,35.7139,85.3553,54.1170,83.8024,39.7476,48.5797,70.2599,70.8428,56.4756,32.5306,33.1007,39.0958,30.3120,26.3982,25.7318,39.3201,41.3196,63.6054,66.7478,51.2350,49.1209,47.5894,32.1133,52.6496,51.6158,69.4642,49.1393,47.6437,51.7674,47.9160,49.6394,56.3042,53.9679,46.6865,55.0695,61.3835,24.6275,23.8305,63.3412,55.0113,55.8773,63.6427,55.8266,63.9464,64.5845,75.3835,28.0397,82.4429,25.3997,23.4824,51.6984,55.4943,40.9665,23.1329,23.5447,46.9409,38.6245,28.8575,24.9017,42.6931,25.0055,32.8894,23.5271,32.8146,43.5737,39.8189,41.8441,40.2266,26.6539,26.4504,33.0359,31.3968,28.2632,54.7301,27.5699,22.6031,24.1656,25.6069,27.0186,32.7517,37.6569,33.4548,28.7370,39.0708,39.5719,40.4215,27.0963,40.3264,32.0041,25.9157,25.0612,29.5093,30.1444,22.3369,25.6380,22.1744,38.6807,24.8842,25.5016,25.2851,41.4978,39.8561,24.9469,27.3900,32.0841,29.4262,63.2579,69.6777,37.5742,26.0138,30.8306,36.5357,26.2917,24.8404,28.5422,26.5565,34.9503,19.7118,34.4673,29.8950,38.3756,28.2284,26.9984,41.3324,42.2334,29.0900,21.7946,26.4441,27.3767,40.5109,40.0412,38.1835,28.8304,38.3987,29.2731,30.2951,29.4656,30.5549,34.6768,29.5955,29.8407,25.5548,33.4791,30.2784,24.7905,40.9431,20.1844,32.5675,38.2051,30.5485,33.7330,31.9173,32.7904,38.0494,32.1344,32.9406,30.8991,32.3323,21.2482,30.0029,30.5338,30.3834,31.9398,21.8143,32.2911,25.9816,23.4834,33.0681,31.2662,27.6337,27.6481,27.2508,28.4484,33.1483,32.4605,33.5512,23.7271,32.7533,28.0843,30.6471,18.1337
1989-02-28,66.5385,65.1431,115.4276,94.1144,82.6568,61.3711,60.5811,54.5309,60.8009,90.3328,63.5664,53.8809,100.3206,88.3632,61.1285,84.1331,48.0669,53.2437,77.7877,65.7814,56.8145,82.7833,27.9824,47.1344,29.6484,66.8129,57.8893,34.8406,37.5380,34.8686,66.8572,36.6201,38.5552,52.8718,24.0165,54.2460,58.5000,67.0272,68.6607,61.4858,22.7958,37.3042,5.4831,35.3320,30.4265,3.9734,30.6336,65.7609,27.8194,64.1465,37.0212,43.2690,42.3757,3.2479,60.5573,62.2112,60.1019,2.7735,66.7585,59.7064,63.6983,41.1040,64.4700,60.2841,27.0942,32.0878,62.5456,69.7482,65.1746,45.9012,42.3941,71.4947,31.8820,33.9927,40.0231,26.6039,21.4041,30.4428,70.1014,45.5077,63.7986,32.8972,41.8972,59.1519,56.9623,48.2841,28.0076,27.5763,32.4761,26.7204,22.6412,21.8043,29.9623,31.4470,53.3379,53.2319,42.4554,41.2947,39.2263,27.5981,44.3910,42.3004,54.8570,40.7183,38.6481,41.6230,39.1628,40.5565,43.9571,42.5762,38.8951,43.8634,51.8468,20.3548,19.9728,51.9664,42.5459,44.4183,48.3384,47.0365,51.9014,51.8874,54.8394,27.5037,60.0298,23.1682,22.4267,39.9062,42.8697,35.8676,19.9275,22.7023,36.4680,39.9781,26.0981,23.0411,39.0817,27.3365,33.9522,24.2140,34.4983,43.4462,39.0835,39.8510,39.3479,27.0846,27.1548,33.0645,32.5979,28.4946,44.0714,23.5767,19.7960,21.5218,29.5257,30.2795,33.1176,37.4549,34.7509,30.1751,37.7058,40.6486,41.8190,30.4854,42.3675,32.9315,22.0462,21.6592,27.3122,30.9603,22.5120,21.4223,22.7499,36.7133,26.0175,28.9927,28.9843,41.6995,38.1225,27.3353,29.2587,32.1432,30.3093,68.2620,75.6207,39.0536,28.1286,32.4896,38.6649,28.1033,27.2506,36.3082,32.6172,35.4268,24.5945,37.2632,31.2546,39.4149,34.9481,24.7506,39.3782,41.2832,28.9581,24.3031,26.8984,28.7741,39.9578,41.3267,36.3482,28.1398,37.4870,30.9914,29.7266,31.2729,30.1274,34.5441,31.8407,30.0754,27.9537,33.7350,31.7492,26.8953,40.1417,22.1802,33.0554,38.1504,33.2347,34.2004,32.1279,35.2019,38.1103,35.0740,35.0102,33.1900,34.6292,21.4337,32.9858,32.5466,32.9018,35.7103,20.7987,32.2194,23.9437,23.7259,30.9216,28.1071,26.0429,26.3708,27.2957,28.4086,28.2926,27.7451,29.3392,24.1809,31.4711,26.4101,26.2943,18.3222
1989-03-31,105.6624,120.9738,183.5261,141.4340,131.5345,97.3859,92.4036,91.4742,92.1197,99.4453,90.0683,74.7362,110.4889,91.2116,82.5398,88.3993,65.4151,72.8401,85.1222,85.8828,72.7051,90.4591,38.0910,60.9105,40.4633,84.2384,77.6318,45.2951,49.3538,41.5901,90.7937,48.1318,49.2913,69.5542,32.3894,70.6597,80.1127,84.9987,86.1034,75.0338,29.7001,55.4063,5.7336,52.6101,39.0862,4.3597,39.4932,81.4274,40.0904,78.4980,55.7374,51.5923,49.7833,3.4297,71.8776,73.1152,71.7301,2.8993,78.8568,71.2858,75.5138,48.6999,77.1963,72.2442,34.1631,46.1849,76.5907,86.0975,78.0821,56.9957,53.8894,90.0680,37.2297,39.1989,50.5888,37.4994,33.6309,35.3996,89.5362,55.4866,77.8380,40.1629,52.4196,73.6485,72.4691,58.3926,34.2105,34.7720,45.7350,31.6173,28.4909,28.1252,38.0489,39.2944,63.2934,67.4888,52.4977,50.5868,49.6653,34.0062,53.8374,53.0102,67.1004,50.4497,47.9791,55.6668,48.5578,49.6633,53.2160,53.2282,57.1633,53.7186,63.8315,27.6103,26.1617,63.8121,59.0112,54.0346,66.8968,60.7304,63.5893,67.7148,74.9999,33.1315,78.0890,33.3260,36.2749,51.1966,53.6233,42.6091,26.4824,30.3898,58.1697,60.6403,28.8148,33.1106,46.4488,38.0301,50.1409,36.5094,51.6175,66.0133,48.3184,47.9035,45.8181,33.9344,33.6086,51.5977,46.4482,46.7980,63.8969,33.6998,26.7051,32.7424,51.1899,46.9319,56.7819,70.0946,57.6334,55.1060,46.2533,48.0047,51.3932,46.9952,53.7197,64.1324,31.0256,29.6726,38.1573,62.2034,27.6666,32.4521,27.3422,45.1972,32.5837,40.4152,38.3008,48.4146,44.6382,34.0403,35.5757,38.4232,60.4131,109.8040,115.1825,43.5492,36.2220,64.8929,80.4752,42.6744,35.7998,57.6788,53.9573,63.2738,32.2876,74.0037,58.6678,44.8000,54.4405,32.3690,46.2271,48.3918,37.7751,32.8724,35.2463,35.5527,47.9769,49.5282,42.5953,35.9124,43.2796,44.5201,35.8362,43.0622,36.5936,41.7793,46.1470,43.7528,39.8686,40.2100,36.9548,41.0264,46.9671,33.3156,39.6909,43.8416,37.0255,39.8314,38.0108,39.6443,42.7447,39.0820,39.3677,37.3123,38.6589,30.0455,37.3926,36.4927,36.9242,44.7059,30.8211,34.9071,36.8485,29.4004,35.4390,45.3382,37.1772,30.9845,36.9150,38.9828,45.0673,43.3717,37.2147,29.9718,40.5078,32.8400,42.8888,22.5430
1989-04-30,78.5941,107.9832,168.2324,116.3806,110.6071,78.2771,70.8445,64.4059,61.8197,86.2930,66.4580,53.2304,95.6782,80.4348,60.2377,78.5271,38.3994,44.4452,74.3083,67.3464,46.7058,76.9005,24.3212,40.9985,23.8879,66.1069,67.7739,33.7183,34.1880,32.2148,68.6003,27.3280,34.3277,53.9364,22.2792,52.7156,60.3302,67.2953,70.3586,62.9507,21.3184,48.9617,4.4167,47.6791,25.5348,3.6774,28.7224,65.3915,34.5619,65.3947,49.5332,42.5109,41.1901,2.3791,61.5998,62.2446,62.0478,1.8545,66.1060,62.0202,64.3499,40.8433,67.8833,62.6030,29.3582,41.0770,66.2194,71.2703,69.2685,49.1571,46.2374,78.3444,38.0243,41.6881,44.9847,32.2335,28.8566,37.2310,80.8061,58.0281,69.8523,42.6451,51.2657,75.0805,80.6603,58.0602,34.2211,37.3740,41.7170,35.3911,44.3615,43.1611,41.5857,42.3006,68.1139,77.9385,60.6591,49.9780,50.8124,41.6035,58.0545,58.2612,72.7159,52.5085,52.4302,77.3241,52.7373,52.4013,65.1121,68.0612,61.7142,64.5412,68.2768,43.8361,44.0974,68.9606,75.8902,66.0297,76.7876,64.8371,69.9985,73.1707,83.6730,31.6264,85.0798,46.2701,46.7223,60.5155,63.5137,48.3877,36.3639,40.2594,65.4632,71.7099,34.3086,44.5201,51.6890,30.2665,49.8807,39.4791,46.5949,78.0907,45.0013,49.8449,47.0714,30.3133,29.0507,50.8311,46.9622,44.6222,70.4416,37.5374,32.1928,41.8729,47.0263,41.6390,65.6504,83.3261,65.8272,60.7769,41.4370,44.6323,46.7108,39.7935,45.8884,73.1054,31.3304,29.1069,36.6533,71.7608,25.3069,29.8524,23.6000,40.0640,25.2181,30.5993,28.1808,42.5494,39.7475,25.3779,32.4015,35.8259,68.8845,106.4297,110.1373,40.5272,25.9298,71.9271,89.3355,32.6787,25.4183,45.7598,38.7351,70.6383,26.0363,82.8587,65.0649,38.2459,44.0084,35.4841,41.0754,42.6281,31.3482,27.0891,26.7993,29.8025,40.6675,38.8368,38.1431,30.5625,38.1597,34.0120,31.2669,32.1703,31.1111,34.3554,34.0644,34.6587,26.5827,33.8769,29.6952,43.7888,39.0502,36.7095,31.7860,36.5255,30.0867,31.4016,31.8027,32.0436,36.8160,32.5601,32.6844,31.2813,32.6509,37.4210,31.4339,29.2323,30.3416,33.4037,43.6838,31.4947,38.2494,34.0725,33.2028,46.1760,36.2180,29.3174,36.0059,34.0624,43.8588,41.2578,30.4491,27.2581,35.8133,28.1559,39.1224,19.6236
1989-05-31,80.5932,115.0025,172.3086,116.4342,112.2518,81.5924,71.5095,64.4198,62.2396,90.8303,66.4220,53.1004,100.2996,81.1136,59.8816,75.6708,30.7882,33.5273,74.0085,70.3766,49.5024,77.1375,18.2849,33.0678,17.4685,66.9235,71.1741,28.3522,34.7884,34.1924,69.8997,21.1655,28.2651,55.2837,17.8213,51.2046,57.8102,67.4674,69.0531,61.4420,17.9822,43.7940,4.5383,42.6489,19.1165,4.1979,23.2341,64.3490,32.8184,64.3630,46.3596,40.0515,39.8183,2.8119,60.0424,60.4204,59.8033,1.9470,62.8679,59.0141,61.7305,39.1319,66.6073,60.4259,29.3004,40.4262,61.4336,72.6004,66.7476,50.9993,47.9700,74.6208,34.7503,37.8802,45.4345,28.5808,22.9516,34.2788,75.2264,44.2648,67.0715,39.8053,45.7728,61.0122,65.1124,47.6348,27.3562,30.1325,33.7658,26.2466,44.2136,43.1063,33.1536,33.6748,55.5751,63.4330,42.4891,37.3131,37.2508,32.4553,42.2145,42.4866,57.2531,37.7316,38.5580,60.4140,38.7597,37.9250,48.8019,46.5975,45.8247,45.7202,51.8485,42.8833,41.6740,52.7434,59.1014,45.8322,58.9776,47.8927,52.3561,56.5787,67.5863,26.2172,68.8590,41.9048,43.0073,38.3748,41.3321,36.3692,31.2150,36.2164,36.8529,79.2191,22.6512,39.8334,38.7579,24.7691,42.3677,34.0896,38.0899,88.0352,39.7565,40.1402,39.2084,25.6697,23.6799,43.7467,43.3667,37.6633,55.1473,30.8623,27.2690,35.7928,39.9935,36.2965,70.7971,93.1730,69.7936,64.0496,40.1679,41.1810,42.6052,35.6517,42.9699,79.3352,26.3968,25.1604,34.8462,77.5769,23.4541,28.2028,22.9946,40.3444,22.3628,28.1164,25.6401,39.7421,38.2481,23.4934,28.2423,31.0665,75.5513,109.0386,110.2591,38.3157,24.8123,78.3693,103.1697,29.5318,23.9562,38.2773,38.9355,74.4951,24.9834,95.0452,67.5147,37.9430,38.2165,32.4757,40.0389,41.4414,28.1800,24.4023,24.1919,26.9967,38.6863,37.9898,37.2500,30.1846,37.1024,29.7106,30.0104,29.1322,32.0337,33.5194,30.6398,29.7408,26.4566,32.4561,30.8066,39.7450,40.7318,30.7024,32.8729,38.1949,32.4889,32.9609,32.9609,34.7412,39.7500,34.8878,34.7261,33.3303,36.0249,32.8626,33.3555,32.4157,33.7902,36.2196,40.7939,33.2273,41.8930,35.8529,33.7508,45.1587,41.4843,31.2352,36.9286,32.1379,45.2166,44.4881,34.0565,28.7177,35.8549,30.2857,39.7833,23.1856
1989-06-30,100.8882,124.2744,173.7729,131.2508,123.5927,95.6199,85.6455,83.7695,79.1882,83.9155,76.7171,60.4345,89.4404,73.1713,66.4113,66.7100,28.9467,33.0911,68.1141,72.1153,52.0937,68.5616,16.5667,26.9780,15.8682,61.5582,61.2126,21.3768,28.2538,30.9477,70.6817,18.0582,21.8920,43.9914,17.8007,43.5163,45.5937,57.1640,60.6973,55.9647,16.5314,45.5878,3.1063,42.2126,19.2060,2.4389,20.1318,60.1305,33.7571,57.8279,48.2189,40.0269,39.8603,1.6497,55.6597,55.7575,55.7103,1.1461,59.1875,56.7435,56.0648,39.2743,61.3073,58.6377,34.9829,43.1387,67.9259,80.9041,62.3749,39.4503,38.7561,81.7641,41.0267,43.1246,39.1339,30.1028,19.7112,40.0910,84.6849,54.4816,57.3388,46.5951,43.1552,68.4697,61.2522,56.4782,35.9982,35.0368,29.9362,35.8267,39.6887,39.0548,29.8330,30.5012,61.6073,58.3450,50.1507,52.3256,50.4822,35.8107,51.7108,51.9779,71.0152,53.3914,48.0021,52.8516,48.1764,55.3246,52.3874,49.3594,40.8112,58.8691,74.4724,39.5180,36.4384,69.7167,52.8955,60.3245,54.4611,53.5483,67.5883,49.9405,84.8295,25.7980,77.8431,40.3995,39.5366,43.8108,43.1743,40.8791,35.2091,39.5164,47.6829,81.9029,27.1226,42.7484,43.8440,27.1866,40.0619,36.5673,40.9391,95.0243,38.7138,41.6532,40.1848,26.6852,24.7495,44.6872,43.8192,42.6827,52.8699,33.6756,24.1310,30.3313,40.5885,37.9712,77.5816,100.9789,78.3975,72.5217,39.6029,39.5048,41.9412,36.5262,45.2918,91.1236,32.8025,26.1071,33.8798,89.1862,22.8631,35.9121,22.6818,42.8537,22.7412,31.6737,29.0562,42.2951,40.8493,24.4488,33.2926,35.2228,84.3474,108.3268,109.0404,40.1751,26.0019,83.3221,109.3865,33.9197,24.9177,54.3562,44.3463,81.1294,30.4799,111.6356,75.2932,40.8661,52.8402,36.1756,51.8540,49.2014,41.3743,30.9486,31.6386,40.7534,46.2215,50.7843,42.0250,34.3394,40.4685,50.2399,34.0976,37.3970,34.0677,45.6271,42.1009,44.6069,35.4006,48.2305,42.9971,59.3415,53.4722,62.6453,48.3757,50.4127,47.2037,49.0751,49.5651,52.5568,52.2868,49.3310,49.5308,48.9927,51.5109,53.5457,46.8886,45.7552,46.0187,53.3946,61.8028,47.8071,55.6587,51.9982,41.2661,59.1019,53.2849,35.7116,52.6262,47.3945,59.3806,58.2935,43.9013,43.2986,49.2359,35.3061,53.4008,34.8890
1989-07-31,133.4829,156.9309,207.7022,156.5439,142.0219,113.8003,96.0191,102.0596,96.9316,101.6000,79.1377,61.9916,110.1336,90.9738,66.5043,84.8178,41.2742,44.7479,84.6850,75.2023,54.9031,92.1159,28.7264,40.3491,28.1104,76.8522,72.7332,37.4861,39.8499,40.7403,93.0431,29.4355,39.7855,59.3554,31.6254,63.9868,64.2932,74.6052,78.1779,73.2845,27.3519,75.7923,4.6516,66.3801,33.0000,3.4774,33.3198,76.2747,51.1892,75.2844,70.1212,50.2812,50.0763,1.9118,71.1712,71.3104,70.6143,1.2591,74.0965,70.8414,69.4028,47.8334,70.3542,70.1440,52.0627,58.5097,73.6203,84.3597,70.9136,57.8328,54.8709,87.6651,55.1279,55.8946,49.7930,31.5571,22.7899,54.8089,100.5459,63.8304,75.3354,63.2072,46.6111,76.3219,73.3950,63.3454,47.9186,43.2323,33.3958,48.7998,50.8154,51.3375,35.5126,36.8343,65.0235,71.6626,58.8449,65.4084,61.3333,46.8181,57.3598,57.3005,76.7347,65.1150,52.1999,72.5600,52.5229,66.4097,57.3524,60.7781,60.0999,56.8122,78.9989,65.4249,63.1045,68.7140,78.3385,56.5576,96.0334,74.9082,65.6484,76.8785,89.1697,30.1484,92.4965,79.6549,64.6930,58.6680,67.8557,63.5334,62.8935,47.6297,69.0094,100.3690,45.6806,71.9973,59.5457,27.9664,45.1566,56.0564,45.9738,120.4095,45.4805,50.5597,50.7448,30.3435,27.2675,47.8680,47.8999,43.1325,64.7825,33.5729,44.7480,53.7340,44.2910,48.2126,90.9271,108.0199,91.0852,80.2488,43.5625,42.1029,47.2692,39.9061,51.5729,107.5987,40.3699,27.8678,35.2420,103.4225,24.2135,52.3674,25.0160,45.9976,22.0645,29.6567,26.8108,40.3922,38.5554,24.3779,36.8917,38.9186,100.3862,108.9385,111.7400,39.7277,25.2951,100.3090,113.8854,30.3772,24.3605,59.2369,46.7817,94.7072,29.9003,135.7973,92.1566,39.0294,58.5376,35.7638,42.1163,43.0182,34.7632,28.3921,32.0362,34.0165,44.0334,44.7272,38.0571,33.9405,38.8666,46.3828,31.8683,39.9481,34.0142,34.7376,44.6177,44.5191,40.3885,35.7631,33.1852,47.9200,43.7093,60.2332,36.1899,42.6706,39.3216,37.3923,36.8924,45.5469,44.5758,39.9407,43.1934,38.9086,46.1743,53.2811,42.3784,35.8759,37.4989,46.7277,56.9589,35.4677,50.0803,54.0780,37.7513,59.7296,47.5715,31.9922,53.1352,49.2851,63.4929,62.7482,41.2696,43.0185,50.7780,33.8462,58.1786,54.9665
